HCR#,,As Of Date,Contract Origin (and Admin Official),,,Contract Destination,,,,,
77,1,30,MANCHESTER,06:45:00 ET,15 min,07:00:00 ET,24VN,K7,303,12/06/2024 06/30/2026,
77,2,031PS,MANCHESTER SOUTH,07:15:00 ET,15 min,07:30:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,1,0.75?,?,?,0.25,,,,,
78,1,031PS,MANCHESTER SOUTH,07:30:00 ET,6 min,07:36:00 ET,24VN,K7,303,12/06/2024 06/30/2026,
78,2,30,MANCHESTER,07:51:00 ET,15 min,08:06:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,1,0.60?,?,?,0.25,,,,,
79,1,30,MANCHESTER,07:45:00 ET,15 min,08:00:00 ET,24VN,K17,257,12/06/2024 06/30/2026,
Trip ,Stop ,Nass Code,Facility,Arrive Time,Load/ ,Depart Time,Vehicle Freq,,Freq Days,Eff. Date,Exp. Date
ID,#,,,,Unload,,,,,,
79,2,MHTFX,MHT FEDEX (28 PERIMETER),08:15:00 ET,15 min,08:30:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,4.7,0.75?,?,?,0.25,,,,,
80,1,MHTFX,MHT FEDEX (28 PERIMETER),08:31:00 ET,15 min,08:46:00 ET,24VN,K17,257,12/06/2024 06/30/2026,
80,2,30,MANCHESTER,09:05:00 ET,15 min,09:20:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,4.5,0.82?,?,?,0.32,,,,,
81,1,30,MANCHESTER,09:45:00 ET,15 min,10:00:00 ET,24VN,K7,303,12/06/2024 06/30/2026,
81,2,033DM,CONCORD ANNEX,10:55:00 ET,9 min,11:04:00 ET,,,,,
81,3,3301,CONCORD,11:20:00 ET,9 min,11:29:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,26.4,1.73?,?,?,1.18,,,,,
82,1,3301,CONCORD,11:30:00 ET,9 min,11:39:00 ET,24VN,K7,303,12/06/2024 06/30/2026,
82,2,30,MANCHESTER,12:40:00 ET,15 min,12:55:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,21.9,1.42?,?,?,1.02,,,,,
83,1,30,MANCHESTER,11:15:00 ET,15 min,11:30:00 ET,24VN,9-608,60,12/06/2024 06/30/2026,
83,2,3106,HOOKSETT,11:55:00 ET,9 min,12:04:00 ET,,,,,
83,3,031PS,MANCHESTER SOUTH,12:30:00 ET,9 min,12:39:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,19.8,1.40?,?,?,0.85,,,,,
84,1,031PS,MANCHESTER SOUTH,12:40:00 ET,9 min,12:49:00 ET,24VN,9-608,60,12/06/2024 06/30/2026,
84,2,30,MANCHESTER,13:10:00 ET,15 min,13:25:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,1,0.75?,?,?,0.35,,,,,
85,1,30,MANCHESTER,12:15:00 ET,15 min,12:30:00 ET,24VN,K67,251,12/06/2024 06/30/2026,
85,2,3275,SUNCOOK,13:06:00 ET,9 min,13:15:00 ET,,,,,
85,3,033PP,PENNY PUBLICATIONS,13:55:00 ET,15 min,14:10:00 ET,,,,,
85,4,033DM,CONCORD ANNEX,14:24:00 ET,6 min,14:30:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,43.8,2.25?,?,?,1.5,,,,,
Trip ,Stop ,Nass Code,Facility,Arrive Time,Load/ ,Depart Time,Vehicle Freq,,Freq Days,Eff. Date,Exp. Date
ID,#,,,,Unload,,,,,,
86,1,033DM,CONCORD ANNEX,14:31:00 ET,15 min,14:46:00 ET,24VN,K67,251,12/06/2024 06/30/2026,
86,2,3275,SUNCOOK,15:01:00 ET,9 min,15:10:00 ET,,,,,
86,3,30,MANCHESTER,15:45:00 ET,15 min,16:00:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,26.3,1.48?,?,?,0.83,,,,,
87,1,30,MANCHESTER,14:55:00 ET,15 min,15:10:00 ET,24VN,K67,251,12/06/2024 06/30/2026,
87,2,3301,CONCORD,15:55:00 ET,6 min,16:01:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,21.7,1.10?,?,?,0.75,,,,,
88,1,3301,CONCORD,16:02:00 ET,15 min,16:17:00 ET,24VN,K67,251,12/06/2024 06/30/2026,
88,2,033DM,CONCORD ANNEX,16:30:00 ET,15 min,16:45:00 ET,,,,,
88,3,3106,HOOKSETT,17:15:00 ET,9 min,17:24:00 ET,,,,,
88,4,30,MANCHESTER,17:55:00 ET,15 min,18:10:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,28.5,2.13?,?,?,1.23,,,,,
89,1,30,MANCHESTER,16:30:00 ET,15 min,16:45:00 ET,26VN,K67,251,12/06/2024 06/30/2026,
89,2,3275,SUNCOOK,17:25:00 ET,15 min,17:40:00 ET,,,,,
89,3,3301,CONCORD,17:54:00 ET,6 min,18:00:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,23.5,1.50?,?,?,0.9,,,,,
90,1,3301,CONCORD,18:05:00 ET,15 min,18:20:00 ET,26VN,K67,251,12/06/2024 06/30/2026,
90,2,3106,HOOKSETT,18:50:00 ET,9 min,18:59:00 ET,,,,,
90,3,30,MANCHESTER,19:25:00 ET,15 min,19:40:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,23.8,1.58?,?,?,0.93,,,,,
91,1,30,MANCHESTER,17:15:00 ET,15 min,17:30:00 ET,24VN,6X,51,12/06/2024 06/30/2026,
91,2,3275,SUNCOOK,18:06:00 ET,9 min,18:15:00 ET,,,,,
91,3,033DM,CONCORD ANNEX,18:34:00 ET,9 min,18:43:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,25.8,1.47?,?,?,0.92,,,,,
92,1,033DM,CONCORD ANNEX,18:45:00 ET,15 min,19:00:00 ET,24VN,6X,51,09/07/2024 06/30/2026,
Trip ,Stop ,Nass Code,Facility,Arrive Time,Load/ ,Depart Time,Vehicle Freq,,Freq Days,Eff. Date,Exp. Date
ID,#,,,,Unload,,,,,,
92,2,3106,HOOKSETT,19:30:00 ET,10 min,19:40:00 ET,,,,,
92,3,30,MANCHESTER,20:00:00 ET,15 min,20:15:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,26.2,1.50?,?,?,0.83,,,,,
93,1,30,MANCHESTER,17:35:00 ET,15 min,17:50:00 ET,24VN,K67,251,12/06/2024 06/30/2026,
93,2,033DM,CONCORD ANNEX,18:35:00 ET,6 min,18:41:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,24,1.10?,?,?,0.75,,,,,
94,1,033DM,CONCORD ANNEX,18:44:00 ET,6 min,18:50:00 ET,24VN,K67,251,12/06/2024 06/30/2026,
94,2,30,MANCHESTER,19:30:00 ET,15 min,19:45:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,24.2,1.02?,?,?,0.67,,,,,
95,1,30,MANCHESTER,18:25:00 ET,15 min,18:40:00 ET,24VN,K7,303,10/12/2024 06/30/2026,
95,2,MHTFX,MHT FEDEX (28 PERIMETER),18:55:00 ET,15 min,19:10:00 ET,,,,,
95,3,031PS,MANCHESTER SOUTH,19:20:00 ET,15 min,19:35:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,7.8,1.17?,?,?,0.42,,,,,
96,1,031PS,MANCHESTER SOUTH,19:35:00 ET,6 min,19:41:00 ET,24VN,K7,303,12/06/2024 06/30/2026,
96,2,30,MANCHESTER,19:45:00 ET,15 min,20:00:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,1,0.42?,?,?,0.07,,,,,
97,1,30,MANCHESTER,19:20:00 ET,15 min,19:35:00 ET,24VN,K67,251,10/12/2024 06/30/2026,
97,2,MHTFX,MHT FEDEX (28 PERIMETER),19:50:00 ET,15 min,20:05:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,4.9,0.75?,?,?,0.25,,,,,
98,1,MHTFX,MHT FEDEX (28 PERIMETER),20:05:00 ET,15 min,20:20:00 ET,24VN,K67,251,10/12/2024 06/30/2026,
98,2,30,MANCHESTER,20:40:00 ET,15 min,20:55:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,4.7,0.83?,?,?,0.33,,,,,
99,1,30,MANCHESTER,02:45:00 ET,15 min,03:00:00 ET,24VN,K7,303,12/06/2024 06/30/2026,
Trip ,Stop ,Nass Code,Facility,Arrive Time,Load/ ,Depart Time,Vehicle Freq,,Freq Days,Eff. Date,Exp. Date
ID,#,,,,Unload,,,,,,
99,2,030PM,NASHUA,03:35:00 ET,30 min,04:05:00 ET,,,,,
99,3,3038,DERRY,04:41:00 ET,9 min,04:50:00 ET,,,,,
99,4,3079,SALEM,05:15:00 ET,9 min,05:24:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,47.4,2.65?,?,?,1.6,,,,,
100,1,3079,SALEM,05:24:00 ET,6 min,05:30:00 ET,24VN,K7,303,12/06/2024 06/30/2026,
100,2,30,MANCHESTER,05:55:00 ET,15 min,06:10:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,19.4,0.77?,?,?,0.42,,,,,
101,1,30,MANCHESTER,03:00:00 ET,15 min,03:15:00 ET,24VN,K7,303,12/06/2024 06/30/2026,
101,2,3079,SALEM,03:55:00 ET,9 min,04:04:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,19.5,1.07?,?,?,0.67,,,,,
102,1,3079,SALEM,04:04:00 ET,6 min,04:10:00 ET,24VN,K7,303,12/06/2024 06/30/2026,
102,2,30,MANCHESTER,04:50:00 ET,15 min,05:05:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,19.4,1.02?,?,?,0.67,,,,,
103,1,30,MANCHESTER,03:37:00 ET,15 min,03:52:00 ET,24VN,K7,303,12/06/2024 06/30/2026,
103,2,3038,DERRY,04:17:00 ET,9 min,04:26:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,9.8,0.82?,?,?,0.42,,,,,
104,1,3038,DERRY,04:26:00 ET,6 min,04:32:00 ET,24VN,K7,303,12/06/2024 06/30/2026,
104,2,30,MANCHESTER,04:57:00 ET,15 min,05:12:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,9.8,0.77?,?,?,0.42,,,,,
105,1,30,MANCHESTER,05:15:00 ET,15 min,05:30:00 ET,24VN,K7,303,12/06/2024 06/30/2026,
105,2,3079,SALEM,06:10:00 ET,6 min,06:16:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,19.5,1.02?,?,?,0.67,,,,,
106,1,3079,SALEM,06:16:00 ET,6 min,06:22:00 ET,24VN,K7,303,12/06/2024 06/30/2026,
Trip ,Stop ,Nass Code,Facility,Arrive Time,Load/ ,Depart Time,Vehicle Freq,,Freq Days,Eff. Date,Exp. Date
ID,#,,,,Unload,,,,,,
106,2,30,MANCHESTER,07:02:00 ET,15 min,07:17:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,19.4,1.02?,?,?,0.67,,,,,
107,1,30,MANCHESTER,05:30:00 ET,15 min,05:45:00 ET,24VN,9-608,60,12/06/2024 06/30/2026,
107,2,3053,LONDONDERRY,06:05:00 ET,9 min,06:14:00 ET,,,,,
107,3,3038,DERRY,06:30:00 ET,9 min,06:39:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,14.4,1.15?,?,?,0.6,,,,,
108,1,3038,DERRY,06:40:00 ET,6 min,06:46:00 ET,24VN,9-608,60,12/06/2024 06/30/2026,
108,2,30,MANCHESTER,07:15:00 ET,15 min,07:30:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,9.8,0.83?,?,?,0.48,,,,,
109,1,30,MANCHESTER,05:30:00 ET,15 min,05:45:00 ET,24VN,K7,303,12/06/2024 06/30/2026,
109,2,3053,LONDONDERRY,06:05:00 ET,9 min,06:14:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,10.4,0.73?,?,?,0.33,,,,,
110,1,3053,LONDONDERRY,06:15:00 ET,9 min,06:24:00 ET,24VN,K7,303,12/06/2024 06/30/2026,
110,2,30,MANCHESTER,06:45:00 ET,15 min,07:00:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,10.7,0.75?,?,?,0.35,,,,,
111,1,30,MANCHESTER,04:45:00 ET,15 min,05:00:00 ET,24VN,9-608,60,12/06/2024 06/30/2026,
111,2,3079,SALEM,05:35:00 ET,9 min,05:44:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,19.5,0.98?,?,?,0.58,,,,,
112,1,3079,SALEM,05:45:00 ET,6 min,05:51:00 ET,24VN,9-608,60,12/06/2024 06/30/2026,
112,2,30,MANCHESTER,06:25:00 ET,15 min,06:40:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,19.4,0.92?,?,?,0.57,,,,,
113,1,30,MANCHESTER,05:45:00 ET,15 min,06:00:00 ET,24LG,K7,303,12/06/2024 06/30/2026,
113,2,3038,DERRY,06:25:00 ET,9 min,06:34:00 ET,,,,,
Trip ,Stop ,Nass Code,Facility,Arrive Time,Load/ ,Depart Time,Vehicle Freq,,Freq Days,Eff. Date,Exp. Date
ID,#,,,,Unload,,,,,,
113,3,3036,CHESTER,06:45:00 ET,9 min,06:54:00 ET,,,,,
113,4,3041,EAST DERRY,07:10:00 ET,9 min,07:19:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,21.5,1.57?,?,?,0.87,,,,,
114,1,3041,EAST DERRY,07:20:00 ET,9 min,07:29:00 ET,24LG,K7,303,12/06/2024 06/30/2026,
114,2,30,MANCHESTER,08:00:00 ET,15 min,08:15:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,12.6,0.92?,?,?,0.52,,,,,
115,1,30,MANCHESTER,06:15:00 ET,15 min,06:30:00 ET,24VN,K7,303,12/06/2024 06/30/2026,
115,2,3079,SALEM,07:05:00 ET,9 min,07:14:00 ET,,,,,
115,3,3073,NORTH SALEM,07:35:00 ET,9 min,07:44:00 ET,,,,,
115,4,3087,WINDHAM,08:00:00 ET,9 min,08:09:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,29.5,1.90?,?,?,1.2,,,,,
116,1,3087,WINDHAM,08:09:00 ET,6 min,08:15:00 ET,24VN,K7,303,12/06/2024 06/30/2026,
116,2,3051,HUDSON,08:40:00 ET,9 min,08:49:00 ET,,,,,
116,3,3076,PELHAM,09:10:00 ET,9 min,09:19:00 ET,,,,,
116,4,031PS,MANCHESTER SOUTH,10:00:00 ET,15 min,10:15:00 ET,,,,,
116,5,30,MANCHESTER,10:30:00 ET,15 min,10:45:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,42.3,2.60?,?,?,1.7,,,,,
117,1,30,MANCHESTER,09:45:00 ET,15 min,10:00:00 ET,24VN,K7,303,07/01/2024 06/30/2026,
117,2,3038,DERRY,10:26:00 ET,9 min,10:35:00 ET,,,,,
117,3,3036,CHESTER,10:55:00 ET,9 min,11:04:00 ET,,,,,
117,4,3053,LONDONDERRY,11:25:00 ET,9 min,11:34:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,23.7,1.82?,?,?,1.12,,,,,
118,1,3053,LONDONDERRY,11:35:00 ET,9 min,11:44:00 ET,24VN,K7,303,07/01/2024 06/30/2026,
118,2,30,MANCHESTER,12:05:00 ET,15 min,12:20:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,10.7,0.75?,?,?,0.35,,,,,
Trip ,Stop ,Nass Code,Facility,Arrive Time,Load/ ,Depart Time,Vehicle Freq,,Freq Days,Eff. Date,Exp. Date
ID,#,,,,Unload,,,,,,
119,1,30,MANCHESTER,09:45:00 ET,15 min,10:00:00 ET,24VN,K7,303,12/06/2024 06/30/2026,
119,2,3079,SALEM,10:40:00 ET,9 min,10:49:00 ET,,,,,
119,3,3073,NORTH SALEM,11:04:00 ET,9 min,11:13:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,24.7,1.47?,?,?,0.92,,,,,
120,1,3073,NORTH SALEM,11:14:00 ET,9 min,11:23:00 ET,24VN,K7,303,12/06/2024 06/30/2026,
120,2,3087,WINDHAM,11:39:00 ET,9 min,11:48:00 ET,,,,,
120,3,30,MANCHESTER,12:15:00 ET,15 min,12:30:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,21.5,1.27?,?,?,0.72,,,,,
121,1,30,MANCHESTER,11:05:00 ET,15 min,11:20:00 ET,24VN,6X,51,12/06/2024 06/30/2026,
121,2,3051,HUDSON,12:05:00 ET,9 min,12:14:00 ET,,,,,
121,3,3076,PELHAM,12:40:00 ET,9 min,12:49:00 ET,,,,,
121,4,3087,WINDHAM,13:10:00 ET,9 min,13:19:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,37.7,2.23?,?,?,1.53,,,,,
122,1,3087,WINDHAM,13:19:00 ET,6 min,13:25:00 ET,24VN,6X,51,12/06/2024 06/30/2026,
122,2,30,MANCHESTER,13:50:00 ET,15 min,14:05:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,16.7,0.77?,?,?,0.42,,,,,
123,1,30,MANCHESTER,13:45:00 ET,15 min,14:00:00 ET,24VN,K67,251,12/06/2024 06/30/2026,
123,2,3036,CHESTER,14:29:00 ET,6 min,14:35:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,14.8,0.83?,?,?,0.48,,,,,
124,1,3036,CHESTER,14:36:00 ET,6 min,14:42:00 ET,24VN,K67,251,12/06/2024 06/30/2026,
124,2,3038,DERRY,15:06:00 ET,9 min,15:15:00 ET,,,,,
124,3,30,MANCHESTER,15:40:00 ET,15 min,15:55:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,16.1,1.32?,?,?,0.82,,,,,
125,1,30,MANCHESTER,14:25:00 ET,15 min,14:40:00 ET,24VN,K67,251,12/06/2024 06/30/2026,
125,2,3079,SALEM,15:14:00 ET,6 min,15:20:00 ET,,,,,
Trip ,Stop ,Nass Code,Facility,Arrive Time,Load/ ,Depart Time,Vehicle Freq,,Freq Days,Eff. Date,Exp. Date
ID,#,,,,Unload,,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,19.5,0.92?,?,?,0.57,,,,,
126,1,3079,SALEM,15:21:00 ET,9 min,15:30:00 ET,24VN,K67,251,12/06/2024 06/30/2026,
126,2,30,MANCHESTER,16:05:00 ET,15 min,16:20:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,19.4,0.98?,?,?,0.58,,,,,
127,1,30,MANCHESTER,16:15:00 ET,15 min,16:30:00 ET,24VN,K67,251,08/31/2024 06/30/2026,
127,2,030NE,NORTHEAST 3PL,16:40:00 ET,10 min,16:50:00 ET,,,,,
127,3,3053,LONDONDERRY,17:10:00 ET,15 min,17:25:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,13.3,1.17?,?,?,0.5,,,,,
128,1,3053,LONDONDERRY,17:10:00 ET,15 min,17:25:00 ET,24VN,K67,251,08/31/2024 06/30/2026,
128,2,30,MANCHESTER,17:40:00 ET,15 min,17:55:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,10.8,0.75?,?,?,0.25,,,,,
131,1,30,MANCHESTER,16:05:00 ET,15 min,16:20:00 ET,26LG,K7,303,12/06/2024 06/30/2026,
131,2,3036,CHESTER,16:59:00 ET,6 min,17:05:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,14.8,1.00?,?,?,0.65,,,,,
132,1,3036,CHESTER,17:06:00 ET,9 min,17:15:00 ET,26LG,K7,303,12/06/2024 06/30/2026,
132,2,3041,EAST DERRY,17:30:00 ET,15 min,17:45:00 ET,,,,,
132,3,3038,DERRY,17:55:00 ET,15 min,18:10:00 ET,,,,,
132,4,30,MANCHESTER,18:40:00 ET,15 min,18:55:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,18,1.82?,?,?,0.92,,,,,
133,1,30,MANCHESTER,16:10:00 ET,15 min,16:25:00 ET,24VN,K7,303,12/06/2024 06/30/2026,
133,2,3073,NORTH SALEM,16:54:00 ET,6 min,17:00:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,18.8,0.83?,?,?,0.48,,,,,
134,1,3073,NORTH SALEM,17:01:00 ET,15 min,17:16:00 ET,24VN,K7,303,12/06/2024 06/30/2026,
Trip ,Stop ,Nass Code,Facility,Arrive Time,Load/ ,Depart Time,Vehicle Freq,,Freq Days,Eff. Date,Exp. Date
ID,#,,,,Unload,,,,,,
134,2,3079,SALEM,17:40:00 ET,15 min,17:55:00 ET,,,,,
134,3,30,MANCHESTER,18:35:00 ET,15 min,18:50:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,24.6,1.82?,?,?,1.07,,,,,
135,1,30,MANCHESTER,16:15:00 ET,15 min,16:30:00 ET,24VN,K67,251,12/06/2024 06/30/2026,
135,2,030HS,HUDSON MALL,17:15:00 ET,15 min,17:30:00 ET,,,,,
135,3,3076,PELHAM,17:56:00 ET,9 min,18:05:00 ET,,,,,
135,4,3087,WINDHAM,18:26:00 ET,9 min,18:35:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,33.6,2.33?,?,?,1.53,,,,,
136,1,3087,WINDHAM,18:36:00 ET,6 min,18:42:00 ET,24VN,K67,251,12/06/2024 06/30/2026,
136,2,30,MANCHESTER,19:05:00 ET,15 min,19:20:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,16.7,0.73?,?,?,0.38,,,,,
137,1,30,MANCHESTER,17:15:00 ET,15 min,17:30:00 ET,24VN,K7,303,12/06/2024 06/30/2026,
137,2,3053,LONDONDERRY,17:49:00 ET,6 min,17:55:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,10.4,0.67?,?,?,0.32,,,,,
138,1,3053,LONDONDERRY,17:56:00 ET,15 min,18:11:00 ET,24VN,K7,303,12/06/2024 06/30/2026,
138,2,30,MANCHESTER,18:40:00 ET,15 min,18:55:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,10.7,0.98?,?,?,0.48,,,,,
139,1,30,MANCHESTER,02:45:00 ET,15 min,03:00:00 ET,24VN,K7,303,12/06/2024 06/30/2026,
139,2,3045,GOFFSTOWN,03:30:00 ET,9 min,03:39:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,12.5,0.90?,?,?,0.5,,,,,
140,1,3045,GOFFSTOWN,03:39:00 ET,6 min,03:45:00 ET,24VN,K7,303,12/06/2024 06/30/2026,
140,2,30,MANCHESTER,04:15:00 ET,15 min,04:30:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,12.4,0.85?,?,?,0.5,,,,,
Trip ,Stop ,Nass Code,Facility,Arrive Time,Load/ ,Depart Time,Vehicle Freq,,Freq Days,Eff. Date,Exp. Date
ID,#,,,,Unload,,,,,,
141,1,30,MANCHESTER,03:15:00 ET,15 min,03:30:00 ET,24VN,K7,303,12/06/2024 06/30/2026,
141,2,030AB,MANCHESTER WEST,03:50:00 ET,15 min,04:05:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,7.8,0.83?,?,?,0.33,,,,,
142,1,030AB,MANCHESTER WEST,04:05:00 ET,6 min,04:11:00 ET,24VN,K7,303,12/06/2024 06/30/2026,
142,2,30,MANCHESTER,04:31:00 ET,15 min,04:46:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,8.5,0.68?,?,?,0.33,,,,,
143,1,30,MANCHESTER,04:45:00 ET,15 min,05:00:00 ET,24VN,K7,303,12/06/2024 06/30/2026,
143,2,030AB,MANCHESTER WEST,05:30:00 ET,15 min,05:45:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,7.8,1.00?,?,?,0.5,,,,,
144,1,030AB,MANCHESTER WEST,05:45:00 ET,6 min,05:51:00 ET,24VN,K7,303,12/06/2024 06/30/2026,
144,2,30,MANCHESTER,06:20:00 ET,15 min,06:35:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,8.5,0.83?,?,?,0.48,,,,,
145,1,30,MANCHESTER,05:30:00 ET,15 min,05:45:00 ET,26LG,K7,303,12/06/2024 06/30/2026,
145,2,3070,NEW BOSTON,06:35:00 ET,6 min,06:41:00 ET,,,,,
145,3,3043,FRANCESTOWN,06:50:00 ET,9 min,06:59:00 ET,,,,,
145,4,3047,GREENFIELD,07:18:00 ET,9 min,07:27:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,32,1.95?,?,?,1.3,,,,,
146,1,3047,GREENFIELD,07:28:00 ET,9 min,07:37:00 ET,26LG,K7,303,12/06/2024 06/30/2026,
146,2,30,MANCHESTER,08:19:00 ET,15 min,08:34:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,30.7,1.10?,?,?,0.7,,,,,
147,1,30,MANCHESTER,05:30:00 ET,15 min,05:45:00 ET,24VN,K7,303,12/06/2024 06/30/2026,
147,2,3045,GOFFSTOWN,06:10:00 ET,9 min,06:19:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,12.5,0.82?,?,?,0.42,,,,,
Trip ,Stop ,Nass Code,Facility,Arrive Time,Load/ ,Depart Time,Vehicle Freq,,Freq Days,Eff. Date,Exp. Date
ID,#,,,,Unload,,,,,,
148,1,3045,GOFFSTOWN,06:20:00 ET,9 min,06:29:00 ET,24VN,K7,303,12/06/2024 06/30/2026,
148,2,30,MANCHESTER,07:00:00 ET,15 min,07:15:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,12.4,0.92?,?,?,0.52,,,,,
149,1,30,MANCHESTER,05:45:00 ET,15 min,06:00:00 ET,24VN,K7,303,12/06/2024 06/30/2026,
149,2,030AB,MANCHESTER WEST,06:30:00 ET,9 min,06:39:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,7.8,0.90?,?,?,0.5,,,,,
150,1,030AB,MANCHESTER WEST,06:40:00 ET,9 min,06:49:00 ET,24VN,K7,303,12/06/2024 06/30/2026,
150,2,30,MANCHESTER,07:20:00 ET,15 min,07:35:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
